image_id,prompt,category
sa_1543978,The center of a type of park where a group of people are all standing around a type of fountain like sculpture looking at the center. There are trees in the background and skyscrapers and other large buildings beyond that,dci
sa_1543979,A wooden basked of six individual cartons of strawberries.,dci
sa_1543982,This looks like an old building located in an old city.,dci
sa_1543984,A View of the front of a white building with many windows that is in the shape of an arch. The windows are facing the camera and also the lawn area with a lot of green trees and grass in it,dci
sa_1543989,The platform of an underground train station.,dci
sa_1543991,There is a bunch of people that are wearing white and black and are walking in a kind of city square. They are surrounded by buildings that are tan and brown also.,dci
sa_1543992,A statue of a man on a horse sits in the center of a large plaza. Also in the plaza are yellow buildings with red rooftops. ,dci
sa_1543994,"A half sun-lit outdoor courtyard with seating, plants, and lights.",dci
sa_1543998,A view of the ocean with a number of smaller boats near the shore and much larger ships further away. There is a small island covered with trees to the left.,dci
sa_1544000,"An assortment of scarves is lying on a table, probably for sale but maybe just for sheer presentation. The scarves come in a wide variety of colors, but they all bear some sort of insignia, as if for a club or team or something. There is a snippet of walkway in front of the table. All the scarves are arranged side by side, and are hanging over the front edge of the table, and ending just above the ground below.",dci
sa_1544001,People and cars are on the street along a city area. There are buildings along the sidewalk and a large tree.,dci
sa_1544002,"The mouth of a teal waterslide, emptying into a pool, flanked by palm trees and other green vegetation.  A stream of water is coming down the slide and two males in a teal inner tube are coming down the slide.",dci
sa_1544007,A white quaint European row house row house.,dci
sa_1544009,"This is a white and gray strip mall. Most on the exterior is white, and most of the trim is gray. It includes the stores Douglas, Neimann, and Werre Park. The parking lot is empty except for a silver van and a red car. It looks like it's before opening time. The parking lot has many streetlights. The parking spaces are beige brick while center of each lane is gray concrete.",dci
sa_1544012,A red phone booth is centrally located on a street with many shops and pedestrians walking and browsing. ,dci
sa_1544014,"A statue is positioned within a fountain against a blue sky with a few very wispy clouds. The scene is upon a hill, with the hill's edge being rimmed by evenly spaced trees.",dci
sa_1544015,Several stone buildings are visible beneath a pure blue sky during midday. The central building has multiple castle-style spires.,dci
sa_1544018," A outdoors market selling plants. There are flowers, wreaths, baskets, and more, all arranged in rows and steps.",dci
sa_1544019,"Five white and grey horses are standing in a grassy park with trees and a white and green building in the background.   A man walks past them holding a broom and piece of red wood, and other people look at the animals from a sidewalk, behind a small fence.",dci
sa_1544020,A set of railroad tracks on the right of the image beside of a dark brown and red brick retaining wall. There's an asphalt blacktop road with a yellow line and a fence to the left of it and surrounded by trees on both sides.,dci
sa_1544038,Large buildings are on land with a body of water in the foreground. There is a bridge on the left side of the image.,dci
sa_1544045,"Plaza within a city, during the daytime under a cloudy sky, with a great stone column pillar with a statue on top and police cars in front of it. People are walking about in the area near the pillar.",dci
sa_1544046,There is a decorative cement container holding several medium sized stones.  The container is sitting outside near a very large decorative spoon.,dci
sa_1544047,"An old medieval castle sits in the middle of a modern city square, full of gardens on the ground, average city buildings and skyscrapers or hotels in the background. Some cars are parked on the roads.",dci
sa_1544050,This is a clean and very modern looking kitchen with six chandeliers hanging from the ceiling.  The kitchen has a wooden floor near the appliances.,dci
sa_1544054,"A power substation under construction, currently being worked on.",dci
sa_1544055,A blue and yellow water slide is attached to a rectangular pool. There is a red-roofed building in the background. The sky is cloudy. ,dci
sa_1544057,A young Asian woman looks at an older family member as she gives them a hug.,dci
sa_1544058,"This is a photo of a street in a clear day that has a pedestrian crossing, light poles, and trees. In the background are five buildings, with three buildings being skyscrapers.",dci
sa_1544059,A street with matching buildings on it.,dci
sa_1544060,"A passenger airplane is captured just as it is taking off. On the side of the airplane is written the company name in lowercase: ""indonesian airways"". The airplane's front wheel is in the air, and its back wheels are just beginning to come off the ground. The surroundings are a typical airport runway surrounded by close-cropped green grass. It's daytime and cloudy.",dci
sa_1544063,A person is standing by the door of a makeshift house made of wood and scrap metal. The house is in front of a drain system that has very dark water flowing.,dci
sa_1544064,A business logo on a gray-tiled building. The logo is a orangish-red curved arch and the font is blue.,dci
sa_1544065,A protest going on a beach in the summer with a sign saying deserve hell. A young in the front is topless with red tapes over her tits. ,dci
sa_1544066,"The area is a natural park with a lot of trees and weeds growing. A man-made series of steps, stairs with railings, signages, as well as arranged rocks can be seen here.",dci
sa_1544070,Two people are playing on red pedal carts. There are bubbles flying through the air and one person is grabbing at them.,dci
sa_1544074,A young man wearing a white face mask and black shirt is standing outside. In the background there are trees that appear blurry because the photo is focused on the man.,dci
sa_1544077,A river boat filled with people on top is cruising down a riverbank. It is passing a large concrete building.,dci
sa_1544078,"There is a very large white building in the background. In the front there are flags, trees and some smaller items like lamp posts and a fountain. ",dci
sa_1544087,A small building surrounded by a great deal of trees without leaves on them. It appears to be located in the wilderness.,dci
sa_1544090,"A thick stone wall with an open archway and some shrubbery in front on the sides leads into a big lawn or courtyard of manicured green grass with an huge old stone building in the back with a few green trees in front, and a blue sky with the thought of wispy clouds is showing above the back building in the archway. The building is reminiscent of Oxford or some other old university, with tall ornate windows and the building being long.",dci
sa_1544094,An assortment of vinyl records organized by different categories on a record store shelf.,dci
sa_1544095,This shows a somewhat dilapidated looking shelter in front of a white gazebo. There is a sloped hill in the background.,dci
sa_1544098,There is a billboard with a company name on it. The sky is cloudy and there is a tree in the background. ,dci
sa_1544099,There is a bronze statue of a middle aged man dressed as an ancient warrior who has a sword at his side as well as a large shield. The sky and trees are visible in the background.,dci
sa_1544101,Sign,dci
sa_1544102,A group of store fronts with large glass windows.  The two buildings are white and beige.,dci
sa_1544103,Friend group,dci
sa_1544104,A truck on a side street is being loaded. There are building and trees on either side of the road.,dci
sa_1544105,"little bunches of blue flowers mixed in amongst boxwoods and other various leaves, there is also some moss on one of the rocks and there appears to be around 18 bunches of the flowers and most of them are on the left hand side",dci
sa_1544107,"A busy city street with a large bus is shades of white, blue and yellow.  Behind the bus are two cars, one black and the other yellow.",dci
sa_1544108,A man rides a bicycle through a puddle in a forest.  Trees are on the left and right side of the man.,dci
sa_1544109,"A white stone building with etchings of people above the front entryway.  There is a street in front of the building that is lined by a tree, a bush, and a street light.",dci
sa_1544110,A close-up of a bright red tiled unique looking building and a stairwell down below.,dci
sa_1544111,The image shows a government building. The picture is taken at dusk.,dci
sa_1544115,A person is driving a motorbike with a trailer and another person is riding in the trailer. The motorbike is passing a red car.,dci
sa_1544117,A trolley train is picking up and dropping off passengers in a busy section of pedestrian traffic.,dci
sa_1544118,A battle scene with soldiers approaching the enemy.,dci
sa_1544119,A white older-looking phone sits on a brown wooden table with papers on the table bench and wall outlets in the background.,dci
sa_1544120,"A while air plane in a tall grassy field. Behind the airplane are trees and a mountain, while in front are black cows.",dci
sa_1544122,An area of circular lounge chairs facing central tv's in a large area of Changi Airport. To the left is a clock on the ceiling and a restaurant underneath it.,dci
sa_1544125,There is a large castle-like building with palm trees around it and a dark statue of someone on a horse to the left.,dci
sa_1544126,"A modern tram on a busy city street in Turkey. There are a lot of pedestrians on both sidewalks, walking past sign-covered shops. There are high buildings on both sides as well as some trees planted along the street.",dci
sa_1544130,Several stately buildings painted light yellow with intricate white details near a green space and bike path. It is a sunny day with wispy white clouds.,dci
sa_1544133,"A beautiful white home that is surrounded by trees, grass, leaves, and shrubs. It has a sidewalk in front of it as well.",dci
sa_1544134,"a brick courtyard with a traditional red and white building, a cubic glass and concrete building, a glass walled building, and two signs",dci
sa_1544137,The sky scrappers are lining the water.  There are mountains covered in buildings in the background.,dci
sa_1544138,A formal jockey lightly rides a white horse on flat exhibition-type grounds. In the background is a blurry fence.,dci
sa_1544145,There are several tall skyscrapers standing outside in the daylight. There are a couple of trees and the sky is clear.,dci
sa_1544147,"A marina scene with many sail and motorboats docked, with a dock in the foreground.  In the background there are many tile roofed building and two prominent church steeples.",dci
sa_1544148,A couple of people are lightning up some medium sized candles inside cans and there are also some small sized candles. ,dci
sa_1544149,"A man in a black suit, wearing a blue shirt, with an orange with blue striped tie and shiny brown shoes.   He is standing in front of a sign to wear orange, he's obscuring the text, but it has something to do with gun safety. ",dci
sa_1544153,"Colorful wall tiles decorate a wall.  Each tile is individually painted with a scene with people in colors of yellow, green, blue and white.",dci
sa_1544154,A man is skateboarding in the snow. A crowd is watching. This is also known as snowskating.,dci
sa_1544156,Boats float on the water near the shore.  Buildings and trees are located on the shore.  ,dci
sa_1544157,"This image shows a beach with  a wooden pier extending out over the ocean to a series of tropical huts. There are 15 huts present in the image, each made out of dark wood and with a thatched roof.",dci
sa_1544158,A woman wearing a black lives matter shirt paints a letter on the ground.,dci
sa_1544162,Two Union Pacific trains on separate train tracks are visible on a clear day.  There is a large metal tower next the one of the trains.,dci
sa_1544163,An aerial view from above a city on a bay. We see the water flowing out of the city under a bridge to the harbor with cityscape on the left and green space on the right.,dci
sa_1544165,"A temple with several domes and pinnacles, in front of a dark cloudy sky and behind some water fountains and some trees.   It is an orangish red hue, there is also two large spires, one orange and one white.   There are people walking along a walkway underneath the trees. ",dci
sa_1544167,A couple of men are shown walking by several cages that hold many different kinds of birds.,dci
sa_1544168,"A downtown district with many tall office buildings, a mosque, and apartments sits at the foothold of a gorgeous mountain system with a massive amount of trees in the city The Mountains behind the city are covered in greenery and at the top, snow, and it all sits under a huge white covering of clouds and a beautiful blue sky.",dci
sa_1544170,A city block prominently displaying an historic brick building on the left and modern glass buildings on the right.,dci
sa_1544171,Here is an outdoor scene at night near the outskirts of a city. There are bright street lights shining where a main road is visible as well as a cone set up near a parked bike taxi.,dci
sa_1544172,"A large canal runs though a city landscape. There is a tree lined walkway on the right bank and a multi-surfaced wall on the left bank. A wall blocks the canals path down stream, funneling the water though a small opening in the wall.  ",dci
sa_1544174,A group of women in bikinis on stage wearing high heels with tan skin.,dci
sa_1544175,Here is a daylight scene outside an arena style building near a city. There is sections of pavement that are cut in squares and buildings far in the distance under a mostly cloudy sky. ,dci
sa_1544176,"A gray concrete structure that slopes up at the top.  The structure is in the middle of the a field with small shrubs and trees around it.  There is a concrete wall in front of the structure, and the structure has graffiti words at the bottom.",dci
sa_1544179,"Some small clownfish colored orange and white, swimming in water, with coral in the background.",dci
sa_1544505,A close up of a type of pool or fountain with a basin rased with water coming out of it to fill the pool. The pool goes off to its left into the giant lake which is surrounded by green trees and a very hill landscape.,dci
sa_1544506,A red and yellow building called Renaissance. It is several floors and has an old architectural design. There are several balconies on both sides.,dci
sa_1544508,There are people looking out of windows on a train. There is a forest and river present.,dci
sa_1544513,People are in a building riding up and down an escalator.,dci
sa_1544515,Yellow real stone building with some brick work and a gated entry. Has a dry climate with hills behind and bushes in front. ,dci
sa_1544516,"A country side road with a brown house with a green roof on the Right, Close to the  Camera is a white fence with a paved road to its left and then green foliage and an open field to the left of the road",dci
sa_1544518,A crowd of people is gathered in front of a large building.  Some of them are holding signs. ,dci
sa_1544519,An city church that closed right now. There is also tons of bicycles that are parked and some city structures that are used to light the pathway.,dci
sa_1544522,There is a large building with several different colored segments on a block on a sunny day. ,dci
sa_1544524,"The picture is of two people walking down a road in what looks like a civil uprising. One man looks like he's dressed as a police officer in riot gear, with a helmet, face shield, gas mask, bullet proof vest, shin and knee pads, and boots, while carrying a weapon. The other is is a man in jeans and a jacket, with a slung computer bag over his shoulder.",dci
sa_1544529,Busy city street in Bangkok that shows businesses lined up along each side and tourists and locals walking around.,dci
sa_1544530,This is a tunnel that has been carved through a rock mountain.,dci
sa_1544534,Two men in uniforms are riding on horses in a grassy field. There are trees and other soldiers in the background.,dci
sa_1545024,A soccer player is preparing to kick a soccer ball. He is on a grass field and there are stands behind him filled with people.,dci
sa_1545029,A group of people in what appears to be Turkey are receiving boxes from the back of a truck. The workers are wearing red jackets and each are holding a box. ,dci
sa_1545030,A variety of locks are arranged on a fence.   ,dci
sa_1545031,An industrial crane at a dock. ,dci
sa_1545033,"It is showing a sign that declares NATION OF IMMIGRANTS. In the background are more signs and rgeenery, and it is clearly a march.",dci
sa_1545037,Three Asian performers are on a green stage with a red background with writing. They are in red and yellow costumes. ,dci
sa_1545038,This is the side of a balcony. It had a metal railing but it is all broken and has a striped cloth in front of it.,dci
sa_1545040,This is a statue of a maned lion. He is on a ledge that has a plate with writing. ,dci
sa_1545041,"The upper part of a partially filled glass of iced tea or other translucent, light brown beverage, in front of a blank wall.  There's condensation on the glass, a lemon slice on the lip of the glass, and ice and beverage in the glass.",dci
sa_1545042,This is an outside antique car show. There are a row of cars and people looking at them. ,dci
sa_1545043,There is a red and gray bird sitting in a tree. ,dci
sa_1545045,A yellow and black gas pump nozzle sticking in the gas tank on the right side of a dark four-door car.  The ground is pavement and in the background appears to be a brown brick wall with a grey sign on it.,dci
sa_1545049,There is a green shore and a lake in the front and then a huge castle or mansion in the background. ,dci
sa_1545051,"A Ferris wheel and amusement park set up in a green field and park, seen from the sky.  There's a parking lot filled with cars next to the park, two bodies of water flanking it, and trees and a community in the background.",dci
sa_1545052,"There is a lake in the middle of the scene. There is a large grassy area around it, as well as paths, benches and people. ",dci
sa_1545055,There is a long dusty path and around it is mostly dirt with some plants and rocks. There is one traveler. ,dci
sa_1545056,"A group of men in camouflage outfits, black helmets, black boots, and black swat equipment, including guns, stand around an open vehicle while a man in a sweatshirt, jeans, and a baseball cap is pushed to the ground by one of them.  There's a grey van up and to the left of this scene, and a grassy area with yellow and white flowers to the left.",dci
sa_1545059,"It is a street with some sort of celebration. There are lots of people, buildings on either side and hanging balloons.",dci
sa_1545061,"A stone building with many arches, windows, and steeples. It is surrounded by trees, with taller trees in the back.",dci
sa_1545063,An intricately decorated garden with palm trees and a small pavilion in the background. Stones are piled on top of one another in the foreground. ,dci
sa_1545066,A gold buddha statue sits on a red table. There are pictures and flower decorations around it.,dci
sa_1545068,There are two columns of license plates from Cuba all on display.,dci
sa_1545071,A person riding a snowboard grinds down a rail in front of a crowd of people. ,dci
sa_1545072,There is a black background with a floral looking design that seems to be made out of stained glass.,dci
sa_1545073,There are two shelves of products.  The top shelf contains cannisters of Ensure and Glucerna and the bottom shelf has boxes of Ensure.,dci
